row_id,sas_variable_name,label,question,section_name,type_of_variable
227,ACEADNED,Did an adult make sure basic needs were met," For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?",Adverse Childhood Experiences,Num
226,ACEADSAF,Did an adult make you feel safe and protected," For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?",Adverse Childhood Experiences,Num
215,ACEDEPRS,"Live With Anyone Depressed, Mentally Ill, Or Suicidal?"," Did you live with anyone who was depressed, mentally ill, or suicidal?",Adverse Childhood Experiences,Num
219,ACEDIVRC,Were Your Parents Divorced/Seperated?, Were your parents separated or divorced?,Adverse Childhood Experiences,Num
216,ACEDRINK,Live With a Problem Drinker/Alcoholic?, Did you live with anyone who was a problem drinker or alcoholic?,Adverse Childhood Experiences,Num
217,ACEDRUGS,Live With Anyone Who Used Illegal Drugs or Abused Prescriptions?, Did you live with anyone who used illegal street drugs or who abused prescription medications?,Adverse Childhood Experiences,Num
221,ACEHURT1,How Often Did A Parent Physically Hurt You In Any Way?," Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was it—",Adverse Childhood Experiences,Num
225,ACEHVSEX,How Often Did Anyone Ever Force You to Have Sex?," How often did anyone at least 5 years older than you or an adult, force you to have sex?",Adverse Childhood Experiences,Num
218,ACEPRISN,Live With Anyone Who Served TIme in Prison or Jail?," Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?",Adverse Childhood Experiences,Num
220,ACEPUNCH,How Often Did Your Parents Beat Each Other Up?," How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?",Adverse Childhood Experiences,Num
222,ACESWEAR,How Often Did A Parent Swear At You?," How often did a parent or adult in your home ever swear at you, insult you, or put you down?",Adverse Childhood Experiences,Num
223,ACETOUCH,How Often Did Anyone Ever Touch You Sexually?," How often did anyone at least 5 years older than you or an adult, ever touch you sexually?",Adverse Childhood Experiences,Num
224,ACETTHEM,How Often Did Anyone Make You Touch Them Sexually?," How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?",Adverse Childhood Experiences,Num
284,ACTIN13_,Estimated Activity Intensity for First Activity, Estimated Activity Intensity for First Activity,Calculated Variables,Num
285,ACTIN23_,Estimated Activity Intensity for Second Activity, Estimated Activity Intensity for Second Activity,Calculated Variables,Num
61,ADDEPEV3,(Ever told) you had a depressive disorder," (Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Chronic Health Conditions,Num
91,ALCDAY4,Days in past 30 had alcoholic beverage," During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage?  (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)",Alcohol Consumption,Num
118,ARTHDIS2,Does Arthritis Affect Whether You Work," Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?",Arthritis,Num
116,ARTHEDU,Ever Taken Class in Managing Arthritis or Joint Symptoms, Have you ever taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?,Arthritis,Num
115,ARTHEXER,Dr. Suggest Use of Physical Activity or Exercise for Arthritis or Joint Symptoms," Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms?  (If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)",Arthritis,Num
204,ASPIRIN,How often do you take an aspirin," How often do you take an aspirin to prevent or control heart disease, heart attacks or stroke?  Would you say….",Aspirin for CVD Prevention,Num
56,ASTHMA3,Ever Told Had Asthma, (Ever told) (you had) asthma?,Chronic Health Conditions,Num
57,ASTHNOW,Still Have Asthma, Do you still have asthma?,Chronic Health Conditions,Num
92,AVEDRNK3,Avg alcoholic drinks per day in past 30," One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average?  (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)",Alcohol Consumption,Num
205,BIRTHSEX,Are you male or female?, What was your sex at birth? Was it male or female?,Sex at Birth,Num
149,BLDSTFIT,Was test part of Cologuard test?, Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?,Colorectal Cancer Screening,Num
80,BLIND,Blind or Difficulty seeing," Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Disability,Num
48,BPHIGH6,Ever Told Blood Pressure High," Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure?  (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´.)",Hypertension Awareness,Num
49,BPMEDS1,Currently Taking Prescription Blood Pressure Medication, Are you currently taking prescription medicine for your high blood pressure?,Hypertension Awareness,Num
23,CADULT1,Are you 18 years of age or older?, Are you 18 years of age or older?,Cell Phone Introduction,Num
268,CAGEG,Four level child age, Four level child age,Child Weighting Variables,Num
174,CAREGIV1,Provided regular care for family or friend," During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?",Caregiver,Num
254,CASTHDX2,Hlth pro ever said child has asthma," Has a doctor, nurse or other health professional EVER said that the child has asthma?",Childhood Asthma Prevalence,Num
255,CASTHNO2,Child still have asthma?, Does the child still have asthma?,Childhood Asthma Prevalence,Num
27,CCLGHOUS,Do you live in college housing?, Do you live in college housing?,Cell Phone Introduction,Num
171,CDDISCU1,Have you discussed your difficulties with thinking with a health care provider?, Have you or anyone else discussed your difficulties with thinking or memory with a health care provider?,Cognitive Decline,Num
172,CDHOUS1,Given up day-to-day chores due to difficulties with thinking or memory," During the past 12 months, have your difficulties with thinking or memory interfered with day-to-day activities, such as managing medications, paying bills, or keeping track of appointments?",Cognitive Decline,Num
173,CDSOCIA1,Does difficulties with thinking or memory interfere with work or social activities," During the past 12 months, have your difficulties with thinking or memory interfered with your ability to work or volunteer?",Cognitive Decline,Num
170,CDWORRY,Are you worried about these difficulties with thinking or memory?, Are you worried about these difficulties with thinking or memory?,Cognitive Decline,Num
22,CELLFON5,Is this a cell phone?, Is this a cell phone?,Cell Phone Introduction,Num
24,CELLSEX2,Are you male or female?, Are you?,Cell Phone Introduction,Num
14,CELPHON1,Cellular Telephone, Is this a cell telephone?,Land Line Introduction,Num
25,CELSXBRT,What was your sex at birth?, What was your sex at birth? Was it male or female?,Cell Phone Introduction,Num
128,CERVSCRN,Have you ever had a cervical cancer screening test?, Have you ever had a cervical cancer screening test?,Breast and Cervical Cancer Screening,Num
60,CHCCOPD3,Ever told you had C.O.P.D. emphysema or chronic bronchitis?," (Ever told) (you had) C.O.P.D. (chronic obstructive pulmonary disease), emphysema or chronic bronchitis?",Chronic Health Conditions,Num
62,CHCKDNY2,Ever told you have kidney disease?," Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?",Chronic Health Conditions,Num
59,CHCOCNC1,(Ever told) (you had)  melanoma or any other types of cancer?, (Ever told) (you had) melanoma or any other types of cancer?,Chronic Health Conditions,Num
58,CHCSCNC1,(Ever told) (you had) skin cancer that is not melanoma?, (Ever told) (you had) skin cancer that is not melanoma?,Chronic Health Conditions,Num
39,CHECKUP1,Length of time since last routine checkup, About how long has it been since you last visited a doctor for a routine checkup?,Health Care Access,Num
74,CHILDREN,Number of Children in Household, How many children less than 18 years of age live in your household?,Demographics,Num
110,CHKHEMO3,Times Checked for Glycosylated Hemoglobin," About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?",Diabetes,Num
50,CHOLCHK3,How Long since Cholesterol Checked, About how long has it been since you last had your cholesterol checked?,Cholesterol Awareness,Num
52,CHOLMED3,Currently taking medicine for high cholesterol, Are you currently taking medicine prescribed by your doctor or other health professional for your cholesterol?,Cholesterol Awareness,Num
169,CIMEMLO1,Have you experienced difficulties with thinking or memory that is happening more often or is getting worse?," During the past 12 months, have you experienced difficulties with thinking or memory that are happening more often or are getting worse?",Cognitive Decline,Num
152,CNCRAGE,Age Told Had Cancer," At what age were you told that you had cancer?  (If Response = 2 (Two) or 3 (Three or more), ask: “At what age was your first diagnosis of cancer?”)",Cancer Survivorship: Type of Cancer,Num
151,CNCRDIFF,How Many Types of Cancer?, How many different types of cancer have you had?,Cancer Survivorship: Type of Cancer,Num
153,CNCRTYP2,Type of Cancer, What kind of cancer is it?,Cancer Survivorship: Type of Cancer,Num
12,COLGHOUS,Do you live in college housing?, Do you live in college housing?,Land Line Introduction,Num
143,COLNCNCR,Ever had any other kind of test for colorectal cancer," Have you ever had any other kind of test for colorectal cancer, such as virtual colonoscopy, CT colonography, blood stool test, FIT DNA, or Cologuard test?",Colorectal Cancer Screening,Num
139,COLNSIGM,"Ever had a colonoscopy, sigmoidoscopy, or both"," Have you had a colonoscopy, a sigmoidoscopy, or both?",Colorectal Cancer Screening,Num
140,COLNTES1,How long since you had colonoscopy, How long has it been since your most recent colonoscopy?,Colorectal Cancer Screening,Num
233,COVACGE1,Will you get COVID-19 vaccination?," Would you say you will definitely get a vaccine, will probably get a vaccine, will probably not get a vaccine, will definitely not get a vaccine, or are you not sure?",COVID Vaccination,Num
105,COVIDACT,Do long-term symptoms reduce ability to carry out activities?, Do these long-term symptoms reduce your ability to carry out day-to-day activities compared with the time before you COVID-19?,Long-term COVID Effects,Num
234,COVIDNU2,Number of COVID-19 vaccinations received, How many COVID-19 vaccinations have you received?,COVID Vaccination,Num
103,COVIDPO1,Have you ever tested positive for COVID-19?," Have you ever tested positive for COVID-19 (using a rapid point-of-care test, self-test, or laboratory test) or been told by a doctor or other health care provider that you have or had COVID-19?",Long-term COVID Effects,Num
104,COVIDSM1,Do you currently have Covid-19 symptoms?, Do you currently have symptoms lasting 3 months or longer that you did not have prior to having coronavirus or COVID-19?,Long-term COVID Effects,Num
232,COVIDVA1,Received at least one COVID-19 vaccination, Have you received at least one dose of a  COVID-19 vaccination?,COVID Vaccination,Num
71,CPDEMO1,Do you have a cell phone for your personal use?, How many cell phones do you have for your personal use?  (Last question needed for partial complete.),Demographics,Num
179,CRGVALZD,Does Person Being Cared For Have Alzheimer´s Disease?," Does the person you care for also have Alzheimer´s disease, dementia or other cognitive impairment disorder?",Caregiver,Num
182,CRGVEXPT,Do you expect to have a relative you will need to provide care for?," In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?",Caregiver,Num
181,CRGVHOU1,Managed household tasks," In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?",Caregiver,Num
177,CRGVHRS1,How Many Hours Do You Provide Care For Person?," In an average week, how many hours do you provide care or assistance?",Caregiver,Num
176,CRGVLNG1,How Long Provided Care For Person., For how long have you provided care for that person?,Caregiver,Num
180,CRGVPER1,Managed personal care," In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?",Caregiver,Num
178,CRGVPRB3,"What Is The Major Health Problem, Illness, Disability For Care For Person?"," What is the main health problem, long-term illness, or disability that the person you care for has?",Caregiver,Num
175,CRGVREL4,Relationship Of Person To Whom You Are Giving Care?, What is his or her relationship to you?,Caregiver,Num
129,CRVCLCNC,Time since last cervical cancer screening test, How long has it been since you had your last cervical cancer screening test?,Breast and Cervical Cancer Screening,Num
131,CRVCLHPV,Have an H.P.V. test and recent cervical cancer screening," At your most recent cervical cancer screening, did you have an H.P.V. test?",Breast and Cervical Cancer Screening,Num
130,CRVCLPAP,Have a PAP test and recent cervical cancer screening," At your most recent cervical cancer screening, did you have a Pap test?",Breast and Cervical Cancer Screening,Num
161,CSRVCLIN,Participate In Clinical Trial As Part Of Cancer Treatment?, Did you participate in a clinical trial as part of your cancer treatment?,Cancer Survivorship: Course of Treatment,Num
163,CSRVCTL2,Is Pain Under Control?, Would you say your pain is currently under control…?,Cancer Survivorship: Pain Management,Num
160,CSRVDEIN,Ever Denied Insurance Coverage Because Of Your Cancer?, Were you ever denied health insurance or life insurance coverage because of your cancer?,Cancer Survivorship: Course of Treatment,Num
155,CSRVDOC1,What Type of Doctor Provides Majority of Your Care, What type of doctor provides the majority of your health care? Is it a….,Cancer Survivorship: Course of Treatment,Num
159,CSRVINSR,Did Health Insurance Pay For All Of Your Cancer Treatment," With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer treatment?  (“Health insurance” also includes Medicare, Medicaid, or other types of state health programs.)",Cancer Survivorship: Course of Treatment,Num
158,CSRVINST,Instructions Written or Printed, Were these instructions written down or printed on paper for you?,Cancer Survivorship: Course of Treatment,Num
162,CSRVPAIN,Currently Have Physical Pain From Cancer Or Treatment?, Do you currently have physical pain caused by your cancer or cancer treatment?,Cancer Survivorship: Pain Management,Num
157,CSRVRTRN,Ever Receive Instructions From A Doctor For Follow-Up Check-Ups," Have you ever received instructions from a doctor, nurse, or other health professional about where you should return or who you should see for routine cancer check-ups after completing treatment for cancer?",Cancer Survivorship: Course of Treatment,Num
156,CSRVSUM,Did You Receive a Summary of Cancer Treatments Received," Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments that you received?",Cancer Survivorship: Course of Treatment,Num
154,CSRVTRT3,Currently Receiving Treatment for Cancer, Are you currently receiving treatment for cancer?,Cancer Survivorship: Course of Treatment,Num
28,CSTATE1,Do you currently live in  ____(state)____?, Do you currently live in  ____(state)____?,Cell Phone Introduction,Num
10,CTELENM1,Correct telephone number?, Is this     (phone number)     ?,Land Line Introduction,Num
21,CTELNUM1,Correct Phone Number?, Is this     (phone number)     ?,Cell Phone Introduction,Num
54,CVDCRHD4,Ever Diagnosed with Angina or Coronary Heart Disease, (Ever told) (you had) angina or coronary heart disease?,Chronic Health Conditions,Num
53,CVDINFR4,Ever Diagnosed with Heart Attack," (Ever told) you had a heart attack, also called a myocardial infarction?",Chronic Health Conditions,Num
55,CVDSTRK3,Ever Diagnosed with a Stroke, (Ever told) (you had) a stroke.,Chronic Health Conditions,Num
79,DEAF,Are you deaf or do you have serious difficulty hearing?, Are you deaf or do you have serious difficulty hearing?,Disability,Num
81,DECIDE,Difficulty Concentrating or Remembering," Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",Disability,Num
65,DIABAGE4,Age When First Told You Had Diabetes, How old were you when you were first told you had diabetes?,Chronic Health Conditions,Num
113,DIABEDU1,When was the last time you took a course or class in how to manage your diabetes?, When was the last time you took a course or class in how to manage your diabetes yourself?,Diabetes,Num
64,DIABETE4,(Ever told) you had diabetes," (Ever told) (you had) diabetes?  (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´. If Respondent says pre-diabetes or borderline diabetes, use response code 4.)",Chronic Health Conditions,Num
112,DIABEYE1,When was the last time a they took a photo of the back of your eye?," When was the last time a doctor, nurse or other health professional took a photo of the back of your eye with a specialized camera?",Diabetes,Num
108,DIABTYPE,What type of diabetes do you have?," According to your doctor or other health professional, what type of diabetes do you have?",Diabetes,Num
84,DIFFALON,Difficulty Doing Errands Alone," Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor´s office or shopping?",Disability,Num
83,DIFFDRES,Difficulty Dressing or Bathing, Do you have difficulty dressing or bathing?,Disability,Num
82,DIFFWALK,Difficulty Walking or Climbing Stairs, Do you have serious difficulty walking or climbing stairs?,Disability,Num
7,DISPCODE,Final Disposition, Final Disposition,Record Identification,Num
93,DRNK3,Binge Drinking," Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?",Alcohol Consumption,Num
339,DRNKANY6,Drink any alcoholic beverages in past 30 days, Adults who reported having had at least one drink of alcohol in the past 30 days.,Calculated Variables,Num
102,DRNKDRI2,Did you drive after having too much to drink in the past 30 days?," During the past 30 days, how many times have you driven when you’ve had perhaps too much to drink?",Seatbelt Use and Drinking and Driving,Num
340,DROCDY4_,Computed drink-occasions-per-day, Drink-occasions-per-day,Calculated Variables,Num
90,ECIGNOW2,"Do you now use e-cigarettes, or vaping products every day, some days, or not at all?"," Would you say you have never used e-cigarettes or other electronic vaping products in your entire life or now use them every day, use them some days, or used them in the past but do not currently use them at all?",Tobacco Use,Num
67,EDUCA,Education Level, What is the highest grade or year of school you completed?,Demographics,Num
73,EMPLOY1,Employment Status, Are you currently…?,Demographics,Num
236,EMTSUPRT,How often get emotional support needed, How often do you get the social and emotional support you need?,Social Determinants and Health Equity,Num
40,EXERANY2,Exercise in Past 30 Days," During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?",Exercise (Physical Activity)Core Section Number: 4,Num
43,EXERHMM1,"Minutes or Hours Walking, Running, Jogging, or Swimming"," And when you took part in this activity, for how many minutes or hours did you usually keep at it?",Exercise (Physical Activity)Core Section Number: 4,Num
46,EXERHMM2,"Minutes or Hours Walking, Running, Jogging, or Swimming"," And when you took part in this activity, for how many minutes or hours did you usually keep at it?",Exercise (Physical Activity)Core Section Number: 4,Num
42,EXEROFT1,"How Many Times Walking, Running, Jogging, or Swimming", How many times per week or per month did you take part in this activity during the past month?,Exercise (Physical Activity)Core Section Number: 4,Num
45,EXEROFT2,"How Many Times Walking, Running, Jogging, or Swimming", How many times per week or per month did you take part in this activity during the past month?,Exercise (Physical Activity)Core Section Number: 4,Num
41,EXRACT12,Type of Physical Activity, What type of physical activity or exercise did you spend the most time doing during the past month?,Exercise (Physical Activity)Core Section Number: 4,Num
44,EXRACT22,Other Type of Physical Activity Giving Most Exercise During Past Month, What other type of physical activity gave you the next most exercise during the past month?,Exercise (Physical Activity)Core Section Number: 4,Num
111,EYEEXAM1,Last Eye Exam Where Pupils Were Dilated," When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?",Diabetes,Num
85,FALL12,Had Fall Past Twelve Months," In the past 12 months, how many times have you fallen?",Falls,Num
86,FALLINJ5,Injured in Fall or Had to see Doctor, How many of these falls caused an injury that limited your regular activities for at least a day or caused you to go to see a doctor?,Falls,Num
283,FC601_,Estimated Functional Capacity, Estimated Functional Capacity,Calculated Variables,Num
114,FEETSORE,Ever Had Feet Sores or Irritations Lasting More Than Four Weeks, Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,Diabetes,Num
188,FIREARM5,Any Firearms in Home, Are any firearms now kept in or around your home?,Firearm Safety,Num
203,FIRSTAID,First Aid for Heart Attack and Stroke," If you thought someone was having a heart attack or a stroke, what is the first thing you would do?",Heart Attack and Stroke,Num
96,FLSHTMY3,When did you receive your most recent seasonal flu shot/spray?, During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?,Immunization,Num
95,FLUSHOT7,Adult flu shot/spray past 12 mos," During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?",Immunization,Num
2,FMONTH,File Month, File Month,Record Identification,Num
239,FOODSTMP,During the past 12 months have you received food stamps," During the past 12 months, have you received food stamps, also called SNAP, the Supplemental Nutrition Assistance Program on an EBT card?",Social Determinants and Health Equity,Num
32,GENHLTH,General Health, Would you say that in general your health is:,Health Status,Num
189,GUNLOAD,Any Firearms Loaded, Are any of these firearms now loaded?,Firearm Safety,Num
132,HADHYST2,Had Hysterectomy, Have you had a hysterectomy?  (A hysterectomy is an operation to remove the uterus (womb).),Breast and Cervical Cancer Screening,Num
126,HADMAM,Have You Ever Had a Mammogram, Have you ever had a mammogram?,Breast and Cervical Cancer Screening,Num
138,HADSIGM4,Ever Had Sigmoidoscopy/Colonoscopy, Colonoscopy and sigmoidoscopy are exams to check for colon cancer. Have you ever had either of these exams?,Colorectal Cancer Screening,Num
191,HASYMP1,Heart Attack Symptoms - Jaw/Back/Neck Pain," (Do you think) pain or discomfort in the jaw, neck, or back (are symptoms of a heart attack)?",Heart Attack and Stroke,Num
192,HASYMP2,Heart Attack Symptoms - Weak/Light-headed/Faint," (Do you think) feeling weak, lightheaded, or faint (are symptoms of a heart attack)?",Heart Attack and Stroke,Num
193,HASYMP3,Heart Attack Symptoms - Chest Pain/Discomfort, (Do you think) chest pain or discomfort (are symptoms of a heart attack)?,Heart Attack and Stroke,Num
194,HASYMP4,Heart Attack Symptoms - Vision Problems, (Do you think) sudden trouble seeing in one or both eyes (are symptoms of a heart attack)?,Heart Attack and Stroke,Num
195,HASYMP5,Heart Attack Symptoms - Pain or Discomfort in Arms/Shoulder, (Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack)?,Heart Attack and Stroke,Num
196,HASYMP6,Heart Attack Symptoms - Shortness of Breath, (Do you think) shortness of breath (is a symptom of a heart attack)?,Heart Attack and Stroke,Num
63,HAVARTH4,Told Had Arthritis," (Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia?  (Arthritis diagnoses include: rheumatism, polymyalgia rheumatica; osteoarthritis (not osteporosis); tendonitis, bursitis, bunion, tennis elbow; carpal tunnel syndrome, tarsal tunnel syndrome; joint infection, etc.)",Chronic Health Conditions,Num
187,HEATTBCO,Have you heard of heated tobacco products?," Before today, have you heard of heated tobacco products?",Other Tobacco Use,Num
78,HEIGHT3,Reported Height in Feet and Inches," About how tall are you without shoes?  (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]",Demographics,Num
30,HHADULT,Number of Adults in Household," How many members of your household, including yourself, are 18 years of age or older?",Cell Phone Introduction,Num
99,HIVTST7,Ever tested H.I.V.," Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?",HIV/AIDSCore Section Number: 14,Num
